image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms,energy_J,avg_power_W
image_019_label_6.bin,0.804175,1.58892,0.527934,0.405781,0.959217,0.732874,4.56251,3.32681,9.58623,0.941421,75.01
image_035_label_2.bin,0.806594,1.59006,0.528546,0.404419,0.942614,0.728063,4.54978,3.32962,9.55483,0.917693,75.01
image_021_label_3.bin,0.80377,1.59357,0.529507,0.408395,0.931355,0.728424,4.55298,3.33524,9.55267,0.944374,75.06
image_058_label_2.bin,0.807409,1.58806,0.524304,0.405623,0.975741,0.732093,4.61682,3.32539,9.65476,0.900508,75.06
image_006_label_1.bin,0.830583,1.5912,0.528913,0.404673,0.960746,0.770715,4.51438,3.35536,9.60584,0.920752,75.06
image_056_label_6.bin,0.806714,1.59116,0.533043,0.413199,0.96345,0.776284,4.55024,3.34412,9.63898,0.909638,75.06
image_096_label_7.bin,0.8252,1.59163,0.523613,0.404865,0.929163,0.728484,4.55318,3.34531,9.56752,0.940409,75.06
image_042_label_0.bin,0.805278,1.59067,0.529989,0.405106,0.973447,0.727953,4.56806,3.33104,9.60537,0.920766,75.06
image_046_label_1.bin,0.804277,1.58931,0.529577,0.405973,0.929187,0.728509,4.55431,3.32914,9.54616,0.930501,75.06
image_052_label_0.bin,0.818209,1.59532,0.524422,0.404629,0.944596,0.729518,4.55302,3.34258,9.58978,0.903535,75.06
image_023_label_3.bin,0.756276,1.59798,0.535238,0.405504,0.937658,0.746571,4.563,3.295,9.54713,0.937593,74.94
image_066_label_1.bin,0.808582,1.5891,0.534134,0.405947,1.01365,0.728289,4.55572,3.33777,9.64007,0.915064,74.94
image_010_label_0.bin,0.806542,1.58846,0.523118,0.426426,0.930818,0.744659,4.56152,3.34455,9.58639,0.93725,74.94
image_072_label_7.bin,0.808133,1.59317,0.535518,0.405118,0.942399,0.77146,4.55117,3.34193,9.61183,0.9125,74.94
image_014_label_1.bin,0.807477,1.58739,0.523123,0.405022,0.975434,0.72967,4.57519,3.32301,9.60806,0.936149,74.94
image_027_label_5.bin,0.799211,1.58616,0.524811,0.405692,0.939531,0.728743,4.55112,3.31588,9.54053,0.919568,74.94
image_028_label_2.bin,0.808058,1.58679,0.536924,0.405451,0.934609,0.729827,4.54895,3.33723,9.55519,0.912602,74.94
image_051_label_4.bin,0.805899,1.58838,0.524679,0.40447,0.945649,0.776524,4.68924,3.32343,9.73964,0.916338,74.94
image_097_label_5.bin,0.807186,1.59094,0.529354,0.405622,0.969816,0.727326,4.62528,3.3331,9.66022,0.928622,74.874
image_083_label_3.bin,0.752407,1.62234,0.527408,0.405527,0.937542,0.801493,4.5491,3.30769,9.60053,0.900336,74.874
image_088_label_2.bin,0.841239,1.58506,0.542455,0.405878,0.930863,0.727688,4.54831,3.37464,9.58644,0.938924,74.874
image_064_label_9.bin,0.807456,1.59034,0.527737,0.404474,0.967957,0.732364,4.56847,3.33,9.60357,0.913148,74.874
image_048_label_3.bin,0.808935,1.59155,0.530307,0.405387,0.933372,0.729418,4.5612,3.33618,9.56486,0.922566,74.874
image_040_label_1.bin,0.840183,1.59426,0.528733,0.405204,0.95033,0.737386,4.55698,3.36838,9.61794,0.911513,74.874
image_022_label_1.bin,0.729844,1.59107,0.529726,0.40502,0.938611,0.727418,4.55567,3.25566,9.48213,0.923818,74.874
image_054_label_9.bin,0.809442,1.5874,0.527414,0.403574,0.958398,0.742888,4.59562,3.32783,9.62951,0.908696,74.874
image_077_label_3.bin,0.725951,1.59671,0.538854,0.43494,0.972925,0.770229,4.55254,3.29646,9.59682,0.970905,75.231
image_029_label_7.bin,0.812289,1.58929,0.548952,0.405952,0.932931,0.755811,4.65103,3.35648,9.70098,0.913995,75.231
image_062_label_1.bin,0.807102,1.58702,0.527721,0.405216,0.968806,0.728366,4.56543,3.32706,9.59449,0.920557,75.231
image_000_label_6.bin,0.80946,1.58851,0.524701,0.404195,0.930941,0.728841,4.54789,3.32686,9.53912,0.922878,75.231
image_079_label_7.bin,0.810091,1.58946,0.528927,0.405728,0.933233,0.728621,4.5618,3.3342,9.56253,0.94124,75.231
image_030_label_1.bin,0.801972,1.62711,0.529755,0.404268,0.931785,0.739116,4.55145,3.3631,9.59029,0.911547,75.231
image_082_label_9.bin,0.725878,1.59286,0.529824,0.404495,0.929901,0.765416,4.58708,3.25306,9.54025,0.932865,75.231
image_034_label_9.bin,0.771298,1.58775,0.534707,0.405901,0.940337,0.727655,4.54501,3.29966,9.51741,0.922607,75.231
image_059_label_0.bin,0.835058,1.58734,0.531804,0.403295,0.94191,0.730438,4.55362,3.3575,9.58826,0.918691,74.922
image_086_label_8.bin,0.805916,1.58947,0.529567,0.405268,0.938651,0.767224,4.55738,3.33022,9.59825,0.911393,74.922
image_008_label_4.bin,0.80724,1.59082,0.531026,0.405975,0.974319,0.726853,4.55098,3.33506,9.59222,0.935811,74.922
