image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,64.0256,215.539,89.3251,88.6541,0.056216,0.198118,4.50145,457.544,462.31
image_085_label_1.bin,41.2581,214.835,87.4197,87.4648,0.057827,0.096711,4.46839,430.978,435.606
image_095_label_1.bin,40.9332,221.283,92.1455,87.5792,0.058726,0.099142,4.47167,441.941,446.576
image_045_label_9.bin,41.9506,216.134,88.0735,87.5404,0.058303,0.097228,4.46999,433.698,438.329
image_081_label_0.bin,40.9565,213.751,87.3174,87.3837,0.054864,0.096578,4.46888,429.409,434.034
image_069_label_4.bin,40.994,215.634,87.5837,87.7063,0.08679,0.097286,4.47375,431.918,436.58
image_004_label_3.bin,40.8564,217.705,90.4562,90.1695,0.059413,0.098067,4.68845,439.187,444.039
image_037_label_7.bin,41.5592,217.055,88.9105,87.6543,0.058549,0.097525,4.46802,435.179,439.809
image_075_label_7.bin,40.6824,219.542,89.7066,87.9333,0.058672,0.097863,4.44702,437.864,442.473
image_018_label_0.bin,41.1447,214.703,89.9615,92.3363,0.056691,0.096939,4.65343,438.146,442.972
image_089_label_5.bin,42.2037,218.725,89.224,89.0462,0.064252,0.099091,4.49413,439.199,443.862
image_061_label_1.bin,40.8394,213.698,87.4938,87.4513,0.055403,0.097159,4.46972,429.482,434.11
image_092_label_3.bin,41.7581,214.036,87.4998,87.5672,0.05643,0.096438,4.47385,430.861,435.493
image_071_label_1.bin,41.2339,215.551,87.7416,87.4834,0.058072,0.094737,4.46915,432.01,436.639
image_017_label_9.bin,40.8381,215.873,91.4205,88.7168,0.070991,0.10952,4.49638,436.848,441.531
image_020_label_5.bin,41.2027,214.592,87.6044,88.2631,0.053016,0.094498,4.46877,431.662,436.284
image_099_label_5.bin,40.8764,215.953,89.2168,89.6925,0.05464,0.09537,4.50949,435.738,440.404
image_009_label_4.bin,41.8949,216.765,87.9437,88.517,0.059797,0.107912,4.71193,435.12,440.006
image_043_label_6.bin,40.7887,221.551,87.5275,88.9993,0.05618,0.0949,4.50442,438.867,443.528
image_070_label_2.bin,41.2497,217.371,89.3735,89.5804,0.059898,0.096065,4.51069,437.575,442.248
image_057_label_7.bin,40.863,214.043,88.3126,87.6738,0.054671,0.094518,4.47249,430.893,435.52
image_031_label_6.bin,41.0256,215.166,87.7257,89.4687,0.054437,0.094818,4.57655,433.386,438.118
image_098_label_8.bin,41.5468,217.495,87.5936,88.2691,0.055192,0.096605,4.49312,434.904,439.554
image_016_label_4.bin,40.8742,215.145,89.113,88.2438,0.053822,0.095523,4.5237,433.376,438.055
image_002_label_5.bin,40.9394,214.409,88.0448,87.575,0.053843,0.109518,4.46123,430.968,435.597
image_073_label_1.bin,40.8656,218.885,91.1185,88.967,0.057947,0.097303,4.46852,439.836,444.465
image_080_label_3.bin,40.8965,213.553,87.2885,87.6139,0.054126,0.094518,4.49621,429.352,434.001
image_068_label_0.bin,41.08,214,88.0687,88.9308,0.054208,0.094955,4.61203,432.08,436.846
image_036_label_4.bin,41.093,216.596,88.249,87.3478,0.056357,0.095272,4.46703,433.285,437.909
image_094_label_5.bin,41.1514,214.667,87.5772,87.9613,0.05724,0.095395,4.46773,431.357,435.983
image_090_label_4.bin,40.9509,216.459,88.404,89.8248,0.054691,0.095697,4.51038,435.639,440.306
image_050_label_5.bin,41.2153,217.822,87.5468,87.3754,0.053213,0.094818,4.49724,433.959,438.61
image_044_label_4.bin,40.8163,215.38,88.4391,89.3404,0.056723,0.09558,4.50108,433.976,438.635
image_013_label_0.bin,41.1709,219.172,88.0436,87.8406,0.055942,0.095632,4.49798,436.227,440.882
