image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,73.6964,172.533,120.746,86.0081,0.059312,0.190638,4.47137,452.984,457.711
image_085_label_1.bin,69.5409,170.369,123.674,87.1618,0.059175,0.124635,4.4995,450.745,455.433
image_095_label_1.bin,68.6363,167.441,122.859,86.6891,0.056986,0.085291,4.50911,445.626,450.281
image_045_label_9.bin,68.0918,167.063,119.791,84.8618,0.05367,0.085628,4.46782,439.808,444.419
image_081_label_0.bin,68.0653,166.474,120.555,85.0485,0.052211,0.083878,4.49893,440.142,444.781
image_069_label_4.bin,66.9898,167.1,120.058,84.9869,0.051984,0.08655,4.48749,439.135,443.764
image_004_label_3.bin,67.2526,167.189,119.689,84.6132,0.052969,0.085974,4.46317,438.744,443.35
image_037_label_7.bin,69.8161,168.071,136.871,91.1516,0.067871,0.088899,4.56221,465.91,470.635
image_075_label_7.bin,71.7261,174.184,124.619,87.4219,0.133602,0.120943,4.54101,457.951,462.754
image_018_label_0.bin,69.503,174.231,123.188,84.9175,0.105912,0.114859,4.4957,451.839,456.561
image_089_label_5.bin,67.9387,171.255,124.361,85.6406,0.069586,0.091784,4.49888,449.195,453.86
image_061_label_1.bin,67.6269,169.051,120.886,85.1427,0.052328,0.10531,4.5271,442.706,447.395
image_092_label_3.bin,67.0633,166.676,121.416,86.7359,0.056565,0.084298,4.53987,441.891,446.575
image_071_label_1.bin,66.5827,166.687,119.839,85.9906,0.052017,0.086721,4.49801,439.099,443.739
image_017_label_9.bin,66.1173,166.846,121.062,86.947,0.052431,0.085315,4.78822,440.972,445.902
image_020_label_5.bin,66.6309,167.242,119.637,84.781,0.052774,0.087522,4.47153,438.291,442.907
image_099_label_5.bin,67.354,168.806,119.711,85.1032,0.052234,0.086852,4.45808,440.974,445.575
image_009_label_4.bin,65.7474,167.042,119.841,85.0909,0.052706,0.087072,4.47055,437.721,442.335
image_043_label_6.bin,66.4331,168.635,120.358,85.0643,0.06377,0.092658,4.47136,440.49,445.122
image_070_label_2.bin,67.8349,166.456,119.866,84.829,0.052111,0.083891,4.57793,438.986,443.703
image_057_label_7.bin,68.1732,171.936,121.706,86.5395,0.054034,0.084375,4.49528,448.354,452.992
image_031_label_6.bin,67.0549,167.049,121.978,86.7862,0.062243,0.085487,4.50975,442.868,447.53
image_098_label_8.bin,67.6753,166.035,119.393,86.8087,0.051479,0.083598,4.50816,439.912,444.559
image_016_label_4.bin,68.5247,166.502,119.613,85.8093,0.054998,0.084608,4.52246,440.45,445.115
image_002_label_5.bin,68.6976,167.569,119.247,84.9324,0.052261,0.084706,4.4991,440.445,445.085
image_073_label_1.bin,68.369,168.258,119.226,84.8567,0.053349,0.082437,4.54793,440.709,445.396
image_080_label_3.bin,67.5485,166.479,119.342,85.032,0.052041,0.083887,4.49365,438.402,443.035
image_068_label_0.bin,67.5242,169.319,120.534,84.8191,0.052203,0.084019,4.55436,442.196,446.89
image_036_label_4.bin,67.3527,167.383,120.027,85.1978,0.052723,0.083919,4.52313,439.961,444.624
image_094_label_5.bin,67.4639,166.496,120.899,85.1799,0.051318,0.083624,4.49569,440.038,444.673
image_090_label_4.bin,67.6109,166.821,119.784,84.7974,0.051058,0.083564,4.49207,439.013,443.643
image_050_label_5.bin,67.022,166.374,119.39,86.8944,0.051164,0.083539,4.50759,439.68,444.326
image_044_label_4.bin,68.3638,166.117,120.077,87.4358,0.059178,0.085165,4.54855,441.994,446.691
image_013_label_0.bin,69.5608,170.186,119.763,84.6223,0.05374,0.084168,4.46955,444.132,448.744
image_065_label_6.bin,69.1303,167.839,119.242,84.9862,0.060362,0.087934,4.49716,441.198,445.847
image_007_label_1.bin,67.3315,170.058,119.187,84.7425,0.054752,0.083014,4.50027,441.318,445.961
image_024_label_2.bin,67.4646,168.651,120.16,84.9247,0.052519,0.08432,4.46647,441.201,445.808
image_049_label_2.bin,67.0011,166.737,120.064,85.0605,0.052527,0.083779,4.46823,438.862,443.47
image_003_label_0.bin,67.2192,167.336,122.114,85.4707,0.053312,0.084071,4.4691,442.14,446.75
image_041_label_9.bin,67.0889,166.561,121.894,87.3633,0.055189,0.084585,4.52736,442.907,447.591
image_091_label_1.bin,67.7307,165.838,119.46,86.4274,0.05252,0.083898,4.49656,439.456,444.092
image_055_label_8.bin,67.4441,166.32,119.858,84.9885,0.053424,0.084219,4.46794,438.61,443.219
image_076_label_5.bin,67.431,166.794,119.495,84.9871,0.051752,0.083781,4.46931,438.707,443.316
image_033_label_7.bin,68.8882,168.041,119.472,86.0728,0.054254,0.08482,4.46733,442.474,447.084
image_001_label_7.bin,70.9146,170.349,119.591,84.8375,0.085903,0.109055,4.50175,445.692,450.395
image_032_label_3.bin,66.0362,169.121,120.692,85.1331,0.054091,0.087849,4.4993,440.983,445.628
image_067_label_8.bin,65.4723,169.211,122.067,85.2106,0.061175,0.089396,4.52315,441.96,446.638
image_026_label_5.bin,67.7091,166.105,121.129,84.6717,0.051979,0.083936,4.4659,439.615,444.233
image_063_label_7.bin,67.4038,166.527,119.66,84.8332,0.051409,0.083603,4.47068,438.424,443.034
image_011_label_0.bin,66.1291,166.73,120.54,85.314,0.051248,0.085832,4.54832,438.714,443.403
image_039_label_5.bin,65.6593,166.835,119.628,84.7725,0.052166,0.087153,4.49692,436.894,441.534
image_005_label_1.bin,65.3692,167.68,119.582,84.8411,0.052339,0.087126,4.84664,437.472,442.475
image_087_label_0.bin,67.8833,168.274,119.523,84.9648,0.060817,0.090801,4.60533,440.645,445.406
image_074_label_2.bin,65.6306,166.888,119.636,84.6233,0.051715,0.085984,4.46718,436.778,441.386
image_093_label_6.bin,65.9728,169.413,120.433,84.9202,0.053289,0.087206,4.5038,440.739,445.387
image_047_label_1.bin,65.9332,170.342,123.761,85.0912,0.06498,0.091451,4.4959,445.128,449.785
image_025_label_6.bin,68.057,166.138,122.524,85.0827,0.052767,0.084013,4.46987,441.802,446.412
image_053_label_0.bin,67.4827,166.598,122.033,86.8125,0.056665,0.084033,4.47,442.926,447.54
image_012_label_4.bin,67.1369,166.061,120.955,85.1708,0.051869,0.083975,4.46865,439.325,443.933
image_078_label_5.bin,67.7783,165.749,123.582,88.1904,0.053541,0.084262,4.49242,445.3,449.934
image_084_label_0.bin,67.5207,166.42,119.948,85.1924,0.051757,0.083485,4.49247,439.081,443.712
image_015_label_5.bin,69.2283,167.379,119.626,85.2723,0.052762,0.084793,4.49712,441.505,446.144
image_060_label_0.bin,67.8425,166.116,119.632,85.1874,0.051302,0.083593,4.53788,438.778,443.455
image_019_label_6.bin,67.7226,169.061,120.194,84.8711,0.052635,0.08377,4.46255,441.849,446.451
image_035_label_2.bin,67.056,166.916,120.097,85.1029,0.051334,0.083524,4.46321,439.171,443.773
