image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms,energy_J,avg_power_W
image_038_label_9.bin,300.682,111.518,316.111,993.479,0.755588,0.654675,4.4702,1721.79,1727.68,139.847,82.2274
image_085_label_1.bin,11.0234,91.7636,269.008,998.451,0.751969,0.518629,4.54431,1370.25,1376.07,133.651,96.4533
image_095_label_1.bin,10.7861,92.1727,274.694,986.931,0.81247,0.533058,4.52328,1364.58,1370.46,132.726,96.5476
image_045_label_9.bin,10.7858,91.1915,267.584,985.535,0.719291,0.522717,4.47149,1355.1,1360.82,132.34,96.9739
image_081_label_0.bin,10.8189,90.4858,271.01,990.648,0.744806,0.566291,4.54219,1362.96,1368.82,133.571,97.3715
image_069_label_4.bin,10.7328,91.1378,269.895,990.399,0.744962,0.546832,4.49542,1362.16,1367.96,134.164,97.3286
image_004_label_3.bin,10.8187,90.7439,267.942,989.517,0.732661,0.526522,4.46964,1359.02,1364.76,133.301,97.479
image_037_label_7.bin,10.937,90.7384,269.755,986.846,0.729457,0.529333,4.49507,1358.28,1364.04,133.254,97.6035
image_075_label_7.bin,10.7536,91.0268,271.714,991.127,0.743453,0.59013,4.49486,1364.62,1370.46,134.456,97.7423
image_018_label_0.bin,10.8054,91.5434,268.756,988.171,0.726649,0.52496,4.49872,1359.28,1365.03,133.894,97.4837
image_089_label_5.bin,11.2687,91.822,270.168,986.042,0.748939,0.546827,4.54195,1359.3,1365.15,135.041,98.1651
image_061_label_1.bin,10.8175,90.3401,269.875,989.932,0.732313,0.525466,4.49874,1360.96,1366.73,134.934,98.3739
image_092_label_3.bin,10.7522,91.1928,268.694,990.848,0.727047,0.525192,4.53889,1361.49,1367.29,135.221,98.595
image_071_label_1.bin,11.1837,91.321,268.377,988.04,0.726256,0.523975,4.51264,1358.92,1364.69,134.659,98.6225
image_017_label_9.bin,10.7304,90.9255,267.912,986.157,0.738242,0.527606,4.50967,1355.72,1361.51,135.795,99.0218
image_020_label_5.bin,10.8021,90.9407,269.42,992.257,0.732649,0.525685,4.51164,1363.42,1369.21,135.333,98.5224
image_099_label_5.bin,10.7498,91.1486,271.562,986.803,0.734356,0.571495,4.47069,1360.26,1366.05,135.417,98.8561
image_009_label_4.bin,10.8451,91.331,269.135,990.331,0.724647,0.517459,4.52267,1361.64,1367.41,136.454,99.1126
image_043_label_6.bin,10.8148,91.3571,268.629,986.802,0.722886,0.526617,4.47058,1357.6,1363.33,135.656,99.2584
image_070_label_2.bin,10.8051,92.5331,270.563,990.403,0.74778,0.53126,4.5125,1364.3,1370.12,136.656,99.0145
image_057_label_7.bin,10.8657,90.6952,268.527,989.605,0.722673,0.524606,4.50304,1359.69,1365.45,135.921,99.0796
image_031_label_6.bin,10.9348,92.1079,268.471,987.47,0.726664,0.531319,4.5,1358.98,1364.75,135.888,99.1725
image_098_label_8.bin,10.7811,91.1659,268.747,990.032,0.726251,0.524827,4.53205,1360.73,1366.52,136.154,99.2487
image_016_label_4.bin,10.8667,91.0138,268.907,983.603,0.72445,0.526239,4.5405,1354.39,1360.19,135.974,99.5003
image_002_label_5.bin,10.7374,90.9634,268.507,988.446,0.76414,0.528602,4.59943,1358.65,1364.55,136.361,99.227
image_073_label_1.bin,10.8,90.9963,267.848,988.786,0.730192,0.52882,4.48843,1358.43,1364.18,135.665,99.3585
image_080_label_3.bin,10.8729,91.0371,269.88,989.553,0.734023,0.529748,4.53481,1361.34,1367.15,137.229,99.5945
image_068_label_0.bin,10.7355,91.6408,269.773,987.617,0.740599,0.527928,4.50618,1359.77,1365.55,136.639,99.6783
image_036_label_4.bin,10.8216,91.1829,268.33,986.292,0.723237,0.523691,4.54844,1356.63,1362.43,136.518,99.9565
image_094_label_5.bin,10.7633,91.8649,268.851,991.003,0.732719,0.577343,4.55592,1362.48,1368.35,137.925,100.053
