image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms,energy_J,avg_power_W
image_038_label_9.bin,18.0397,111.781,0.52585,0.513477,2.93853,1.10368,4.51241,130.86,139.423,10.5193,72.2708
image_085_label_1.bin,11.7975,107.257,0.527435,0.502923,4.01399,0.920472,4.57313,120.085,129.599,10.1017,74.9429
image_095_label_1.bin,11.427,95.2979,0.481654,0.427582,2.27116,0.902928,4.47137,107.634,115.301,9.16439,75.8384
image_045_label_9.bin,11.0889,92.1143,0.454701,0.429555,3.14177,0.909909,4.51792,104.088,112.678,11.776,98.8035
image_081_label_0.bin,10.664,92.5501,0.450676,0.428168,3.83265,0.997309,4.5254,104.093,113.47,12.2975,102.558
image_069_label_4.bin,10.7499,93.2346,0.513089,0.431314,3.8344,1.00304,4.51319,104.929,114.286,12.2565,101.787
image_004_label_3.bin,10.656,92.093,0.460495,0.431725,3.99114,0.93176,4.51345,103.641,113.084,12.202,101.622
image_037_label_7.bin,10.6218,92.9195,0.450642,0.427318,3.90468,0.909804,4.49895,104.419,113.756,12.195,101.681
image_075_label_7.bin,10.7167,92.4524,0.453967,0.428248,4.27356,0.931669,4.51063,104.051,113.773,12.3092,102.184
image_018_label_0.bin,10.8217,92.3955,0.467107,0.428129,2.09672,2.49826,4.50135,104.112,113.23,12.3727,103.003
image_089_label_5.bin,10.7494,92.4888,0.45396,0.436733,3.85758,0.931856,4.51367,104.129,113.453,12.2864,102.233
image_061_label_1.bin,10.7308,93.0418,0.453819,0.428584,3.85128,0.906093,4.55959,104.655,113.978,12.2665,101.796
image_092_label_3.bin,10.7549,91.6637,1.77573,0.43429,2.15881,1.0518,4.51485,104.629,112.375,12.2384,102.052
image_071_label_1.bin,10.9785,91.9795,0.472602,0.428404,2.19658,3.55393,4.47232,103.859,114.088,12.3181,102.47
image_017_label_9.bin,10.7521,92.1649,0.468209,0.429173,2.17236,2.70503,4.47218,103.814,113.17,12.4046,103.085
image_020_label_5.bin,10.8036,92.6996,1.89336,0.447072,2.11226,0.904274,4.50258,105.844,113.384,12.2695,102.03
image_099_label_5.bin,10.721,92.0119,1.82219,0.433108,2.19848,0.918218,4.51473,104.988,112.641,12.2153,101.91
image_009_label_4.bin,10.7109,92.1746,2.17887,0.429463,2.29052,0.920132,4.52894,105.494,113.255,12.3052,102.193
image_043_label_6.bin,10.7957,92.7996,0.455959,0.430757,3.78142,0.923119,4.54778,104.482,113.755,12.3435,102.464
image_070_label_2.bin,10.7596,93.0394,0.450136,0.427635,3.46384,0.904418,4.53613,104.677,113.587,12.4337,103.282
image_057_label_7.bin,12.013,97.1687,0.458441,0.435889,1.44817,1.09714,4.65694,110.076,117.301,12.2492,102.214
image_031_label_6.bin,10.6485,92.3258,0.46881,0.431445,2.27144,2.5071,4.51149,103.875,113.171,12.3133,102.493
image_098_label_8.bin,10.7829,92.1964,0.471952,0.431715,2.36422,2.62216,4.51412,103.883,113.39,12.3008,102.433
image_016_label_4.bin,10.8608,97.028,0.457879,0.437682,2.28495,0.918688,4.55609,108.784,116.551,12.4181,102.619
image_002_label_5.bin,10.7179,91.4477,1.78342,0.432806,2.21636,0.929549,4.51403,104.382,112.048,12.3678,103.338
image_073_label_1.bin,10.7373,91.7618,0.444538,2.16211,2.30061,0.919677,4.50045,105.106,112.832,12.3149,102.508
image_080_label_3.bin,10.8676,92.2844,1.77926,0.430127,2.02387,0.912318,4.53073,105.361,112.847,12.3066,102.28
image_068_label_0.bin,11.096,91.868,2.00306,0.434132,1.93289,0.917218,4.51048,105.401,112.768,12.2907,102.233
