epoch,train_loss,train_accuracy,test_accuracy,epoch_time_sec
1,2.0063630689620973,26.42,32.625,8.643094541000002
2,1.6232575151443482,38.98,45.2875,8.263208541000001
3,1.4573373222351074,45.9,50.125,8.260178
4,1.3416492568969727,49.36,49.55,8.255306125000004
5,1.2966597892761231,51.9,46.65,8.288003958000004
6,1.171604598236084,57.1,53.8125,8.296511459000001
7,1.1130537929534912,58.72,57.625,8.290333333999996
8,1.0749216762542724,61.12,58.7,8.301405625000001
9,0.9814018051147461,63.6,53.05,8.298988582999996
10,0.9850277139663697,63.66,58.75,8.298059957999996
11,0.9217460973739624,66.24,59.2,8.298422625
12,0.8440563759803772,69.48,60.45,8.282642499999994
13,0.7660422304153442,72.16,63.25,8.31170075
14,0.7047553933143615,74.4,62.5125,8.322634250000007
15,0.7223697271347046,73.52,63.0,8.29245154200001
16,0.5863303364276886,79.18,63.0,8.318457834000014
17,0.5856745324134827,78.46,63.9375,8.313210083000001
18,0.5132891376495361,81.68,62.95,8.324702957999989
19,0.6269424027681351,77.68,64.575,8.320650041999983
20,0.4578651090621948,83.38,62.925,8.302323833000003
21,0.44715417122840884,83.94,64.05,8.311754457999996
22,0.36433253149986267,87.48,63.4125,8.325337667000014
23,0.36625862909555434,86.84,63.45,8.317174875000006
24,0.27828253507614137,90.42,64.9125,8.356049208999991
25,0.23924710836410523,91.74,64.7,8.458431625000003
26,0.26638956918716433,90.46,65.55,8.519536334000009
27,0.2501855869293213,91.12,60.3,8.700195957999995
28,0.42381106050014494,85.8,64.7625,8.789987374999981
29,0.23593475873470307,92.02,63.425,9.003280834000009
30,0.17548254091739654,94.14,64.8,9.03060316600002
31,0.14385353841781617,95.0,64.0375,9.126283875000013
32,0.22369195749759674,92.1,65.7375,9.183240582999986
33,0.1355952108979225,95.4,64.7375,9.221919791000005
34,0.10795261662751436,96.34,66.1625,9.228751999999986
35,0.08619041588306427,97.26,65.875,9.250515458000052
36,0.1961371844291687,93.56,65.9375,9.218454707999967
37,0.19186879684478045,93.92,65.675,9.208185334000007
38,0.08214410251379013,97.42,65.95,9.220639291999987
39,0.08338816087543964,96.94,65.95,9.220741041999986
40,0.05747169942855835,98.08,65.45,9.209304625000016
41,0.20678227713406086,93.46,64.9125,9.285748041999966
42,0.08637377638816833,97.2,64.8625,9.501727374999973
43,0.13151607555225492,95.72,66.0375,9.431956500000013
44,0.06583451454639434,97.8,65.325,9.259386333000009
45,0.06437170035243034,97.92,65.675,9.34405449999997
46,0.05712554571665823,98.06,66.1,9.313646333999998
47,0.061023443351686,98.08,65.3875,9.361621833000015
48,0.050300722607970236,98.32,64.9625,9.35920916699996
49,0.06031866769492626,97.98,66.35,9.382594541999993
50,0.057947290091589096,98.22,64.9,9.381564000000026
