image_size,kernel_size,padding_mode,dtype,operation_time_ms
256,3,same,<class 'numpy.float64'>,1.403572
256,7,same,<class 'numpy.float64'>,3.656530
256,21,same,<class 'numpy.float64'>,41.276707
256,51,same,<class 'numpy.float64'>,227.818698
256,101,same,<class 'numpy.float64'>,747.820216
512,5,same,<class 'numpy.float64'>,8.750895
512,11,same,<class 'numpy.float64'>,37.137300
512,31,same,<class 'numpy.float64'>,279.029125
512,101,same,<class 'numpy.float64'>,2995.730983
