image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms,energy_J,avg_power_W
image_011_label_0.bin,10.8803,93.2459,0.454282,0.475539,3.63366,0.932344,4.48382,105.056,114.112,12.5045,104.028
image_039_label_5.bin,10.8619,92.0217,1.83865,0.437421,2.22234,0.943526,4.50805,105.16,112.855,12.4243,103.391
image_005_label_1.bin,10.9326,93.0853,0.462808,0.435402,3.5438,0.916114,4.51479,104.916,113.897,12.3996,103.217
image_087_label_0.bin,10.7924,93.5774,0.485629,0.4313,3.18203,0.940261,4.52573,105.287,113.941,12.4399,103.194
image_074_label_2.bin,10.821,93.5605,0.455229,0.434811,3.01164,0.915295,4.54731,105.272,113.752,12.419,103.522
image_093_label_6.bin,10.8577,91.9892,0.475225,0.435966,2.31447,2.81898,4.51527,103.758,113.413,12.4858,103.928
image_047_label_1.bin,10.9249,93.2237,0.453248,0.431988,3.2489,0.921399,4.53461,105.034,113.745,12.3856,103.211
image_025_label_6.bin,10.9349,93.3962,0.460309,0.433914,3.23299,0.917213,4.51982,105.225,113.902,12.4427,103.168
image_053_label_0.bin,10.8124,94.0339,0.477461,0.457325,2.50516,0.943829,4.54548,105.781,113.782,12.3959,103.417
image_012_label_4.bin,10.9033,92.543,0.462277,0.43539,3.73168,0.940895,4.52019,104.344,113.543,12.3988,103.263
image_078_label_5.bin,10.8474,92.0915,1.97941,0.438531,2.3693,0.924184,4.51376,105.357,113.171,12.4934,103.841
image_084_label_0.bin,10.7093,91.6318,2.35847,0.436428,2.4192,0.919365,4.56186,105.136,113.059,12.3923,103.148
image_015_label_5.bin,11.3521,93.8898,0.460186,0.434163,2.31586,0.929324,4.51521,106.136,113.903,12.3946,103.099
image_060_label_0.bin,10.7961,92.7343,0.458397,0.436045,4.04687,0.923654,4.5161,104.425,113.933,12.4136,103.131
image_019_label_6.bin,10.8643,92.3186,0.454399,0.435589,4.14681,0.916114,4.51536,104.073,113.657,12.4103,103.546
image_035_label_2.bin,10.8079,93.301,0.462746,0.435311,3.46595,0.924825,4.51519,105.007,113.919,12.492,103.985
image_021_label_3.bin,10.9878,93.7907,0.454444,0.435041,2.64023,0.919176,4.51827,105.668,113.752,12.4116,103.302
image_058_label_2.bin,10.816,93.0397,0.458731,0.472559,3.79956,0.927512,4.555,104.787,114.076,12.4159,103.335
image_006_label_1.bin,10.7953,92.2328,0.461885,0.441298,2.24162,2.86584,4.51412,103.931,113.559,12.4339,103.422
image_056_label_6.bin,10.7985,93.1608,0.455764,0.431005,3.65291,0.918763,4.47868,104.846,113.902,12.445,103.563
image_096_label_7.bin,10.9092,94.4227,0.452288,0.431244,2.2546,0.937147,4.59068,106.215,114.019,12.525,104.196
image_042_label_0.bin,10.7171,92.566,0.460259,0.434672,3.93529,0.926859,4.51367,104.178,113.56,12.4173,103.385
image_046_label_1.bin,10.7509,93.0595,0.454163,0.435,3.68239,0.923336,4.54628,104.7,113.858,12.4373,103.457
image_052_label_0.bin,10.8688,92.3839,0.463353,0.435167,4.21923,0.926912,4.65501,104.151,113.959,12.4079,103.215
image_023_label_3.bin,10.91,92.3709,2.43422,0.437896,2.04954,0.916252,4.51385,106.153,113.639,12.4523,103.72
image_066_label_1.bin,10.8132,93.2508,0.461886,0.43175,3.48569,0.911804,4.57145,104.958,113.933,12.4955,103.966
image_010_label_0.bin,10.8866,93.7013,0.461628,0.434415,2.61667,0.943151,4.51416,105.484,113.564,12.358,103.035
image_072_label_7.bin,10.8196,91.7351,0.465823,0.436126,4.15348,0.911703,4.68073,103.457,113.209,12.3995,103.112
image_014_label_1.bin,10.8451,94.1012,0.460551,0.431847,2.58011,0.906141,4.53565,105.839,113.867,12.4146,103.203
image_027_label_5.bin,10.8414,92.588,0.462502,0.433996,3.95348,0.938203,4.51466,104.326,113.739,12.4312,103.599
image_028_label_2.bin,10.7623,93.345,0.457294,0.433856,3.6098,0.918402,4.5149,104.998,114.048,12.5054,104.02
image_051_label_4.bin,10.801,92.9882,0.453116,0.433887,3.55864,0.925853,4.5465,104.676,113.714,12.4047,103.353
image_097_label_5.bin,10.7868,92.2047,0.461761,0.433838,4.88599,0.936141,4.51502,103.887,114.231,12.4499,103.443
