image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,21.8931,113.625,0.540447,0.500922,1.24835,1.11666,4.72251,136.559,143.662
image_085_label_1.bin,11.6026,109.488,0.533288,0.50165,1.18961,0.91937,4.79677,122.125,129.037
image_095_label_1.bin,11.4627,96.6224,0.464863,0.430976,1.11992,0.912538,4.57212,108.981,115.591
image_045_label_9.bin,10.7951,92.8074,0.465117,0.430517,1.15566,0.954363,4.75429,104.498,111.368
image_081_label_0.bin,10.708,91.9975,0.47609,0.476814,1.12789,0.913017,4.51356,103.658,110.218
image_069_label_4.bin,10.7358,91.7765,0.469256,0.431557,1.13144,0.922021,4.51904,103.413,109.991
image_004_label_3.bin,10.7152,92.4917,0.465864,0.431644,1.11847,0.907491,4.54467,104.104,110.681
image_037_label_7.bin,10.6634,94.7504,0.466057,0.427939,1.07798,0.889093,4.61661,106.308,112.897
image_075_label_7.bin,10.7309,94.9286,0.461478,0.427975,1.08051,0.889042,4.50403,106.549,113.028
image_018_label_0.bin,10.6589,95.9607,0.460339,0.427697,1.10308,0.924101,4.5276,107.508,114.068
image_089_label_5.bin,10.7111,96.5717,0.46568,0.432325,1.10027,0.89373,4.51274,108.181,114.693
image_061_label_1.bin,10.6099,93.6045,0.458939,0.430394,1.07734,0.885651,4.47297,105.104,111.545
image_092_label_3.bin,10.9536,95.6294,0.459193,0.428522,1.10542,0.890294,4.4681,107.471,113.94
image_071_label_1.bin,10.7405,95.9931,0.482858,0.428347,1.08,0.877757,4.49967,107.645,114.107
image_017_label_9.bin,10.693,96.1118,0.459282,0.427551,1.10771,0.893765,4.49833,107.692,114.196
image_020_label_5.bin,10.8509,96.0939,0.461536,0.427384,1.08203,0.88919,4.49992,107.834,114.31
image_099_label_5.bin,10.6545,94.4567,0.459812,0.428276,1.0702,0.881104,4.49562,105.999,112.451
image_009_label_4.bin,10.7773,96.4137,0.462334,0.429215,1.08136,0.886296,4.52663,108.083,114.582
image_043_label_6.bin,10.6657,96.2176,0.458,0.427095,1.11447,0.893775,4.46652,107.768,114.248
image_070_label_2.bin,11.5,94.4978,0.464387,0.432772,1.10181,0.894617,4.5131,106.895,113.423
image_057_label_7.bin,10.5777,94.0193,0.461343,0.43311,1.08993,0.887058,4.49472,105.491,111.968
image_031_label_6.bin,10.6782,97.7591,0.46916,0.429851,1.10078,0.888453,4.47002,109.336,115.801
image_098_label_8.bin,10.5885,91.6995,0.526703,0.432472,1.12691,0.903871,4.55242,103.247,109.836
image_016_label_4.bin,10.5024,94.3421,0.467029,0.431603,1.17859,0.929075,4.88229,105.743,112.739
image_002_label_5.bin,11.4026,97.7579,0.472454,0.443097,1.2524,1.01394,4.65444,110.076,117.003
image_073_label_1.bin,10.5758,92.4959,0.462382,0.430737,1.13118,0.904253,4.51283,103.965,110.519
image_080_label_3.bin,10.795,94.2082,0.46175,0.429969,1.09574,0.893743,4.53363,105.895,112.423
image_068_label_0.bin,10.6914,96.4143,0.462723,0.430482,1.09094,0.913333,4.52321,107.999,114.532
image_036_label_4.bin,11.1468,92.9006,0.46868,0.431849,1.1133,0.906911,4.51258,104.948,111.486
image_094_label_5.bin,10.5834,95.1815,0.460508,0.428045,1.08421,0.885919,4.47269,106.653,113.101
image_090_label_4.bin,10.652,95.9458,0.461127,0.428147,1.07764,0.909797,4.53588,107.487,114.029
image_050_label_5.bin,10.7927,95.0974,0.459119,0.429601,1.09415,0.979913,4.51305,106.779,113.371
image_044_label_4.bin,10.5898,94.7787,0.461827,0.428934,1.08417,0.891774,4.47369,106.259,112.714
image_013_label_0.bin,10.7147,95.6745,0.462008,0.426526,1.09404,0.892375,4.49883,107.278,113.768
image_065_label_6.bin,10.5898,95.9417,0.456996,0.429542,1.07881,0.894556,4.50854,107.418,113.905
image_007_label_1.bin,10.6687,96.3578,0.46326,0.42797,1.132,0.922852,4.49776,107.918,114.489
image_024_label_2.bin,10.8977,95.5482,0.46279,0.457057,1.2514,1.03,4.7167,107.366,114.37
image_049_label_2.bin,10.623,91.6994,0.466785,0.428456,1.12229,0.900158,4.62585,103.218,109.871
image_003_label_0.bin,10.594,92.676,0.461238,0.443367,1.17421,0.963033,4.75888,104.175,111.077
image_041_label_9.bin,11.4592,95.4823,0.478581,0.444006,1.20573,0.940942,4.51598,107.864,114.533
image_091_label_1.bin,10.411,94.3999,0.46454,0.428743,1.09225,0.942083,4.53132,105.704,112.275
image_055_label_8.bin,10.7852,96.5667,0.463581,0.428897,1.0895,0.884313,4.50363,108.244,114.727
image_076_label_5.bin,10.6609,95.2547,0.463162,0.429161,1.08233,0.887574,4.47043,106.808,113.253
image_033_label_7.bin,10.6202,95.4662,0.464142,0.42922,1.10286,0.90284,4.47532,106.98,113.466
image_001_label_7.bin,10.7274,94.0008,0.456909,0.44204,1.07895,0.887513,4.56263,105.627,112.161
image_032_label_3.bin,10.6966,95.5575,0.463067,0.429813,1.09796,0.928948,4.51552,107.147,113.707
image_067_label_8.bin,10.6175,92.3562,0.463891,0.430649,1.08322,0.898597,4.51403,103.868,110.369
image_026_label_5.bin,10.5516,93.51,0.465405,0.430642,1.15091,0.892883,5.29388,104.958,112.3
image_063_label_7.bin,10.7342,94.7039,0.463401,0.430742,1.11599,0.968865,4.70064,106.332,113.123
image_011_label_0.bin,10.6059,93.3281,0.464262,0.432333,1.10201,0.901004,4.51159,104.831,111.352
image_039_label_5.bin,10.642,95.9003,0.461825,0.428042,1.09514,0.89904,4.46871,107.432,113.902
image_005_label_1.bin,10.5888,95.6082,0.46041,0.431834,1.0848,0.893358,4.47108,107.089,113.545
image_087_label_0.bin,10.6115,96.2343,0.460242,0.427868,1.08621,0.887112,4.49493,107.734,114.209
image_074_label_2.bin,10.5864,95.5252,0.460377,0.427779,1.08899,0.889713,4.47401,107,113.459
image_093_label_6.bin,10.5923,96.7161,0.462674,0.431664,1.09435,0.904174,4.51447,108.203,114.722
image_047_label_1.bin,10.568,94.3451,0.461317,0.427416,1.12377,0.899172,4.55643,105.802,112.388
image_025_label_6.bin,10.6619,95.2169,0.461543,0.429576,1.1265,0.897643,4.49969,106.77,113.3
image_053_label_0.bin,10.6253,95.7888,0.461933,0.428965,1.094,0.895239,4.49876,107.305,113.799
image_012_label_4.bin,10.5453,96.8052,0.458052,0.429963,1.09379,0.887595,4.47215,108.239,114.698
image_078_label_5.bin,10.6327,96.0934,0.468549,0.429361,1.08705,0.913936,4.4696,107.624,114.101
image_084_label_0.bin,10.6734,95.7375,0.460828,0.441471,1.09242,0.911242,4.48966,107.313,113.813
image_015_label_5.bin,10.7179,94.978,0.460157,0.429015,1.08324,0.890476,4.49476,106.585,113.06
image_060_label_0.bin,10.6381,95.07,0.457538,0.429556,1.10406,0.921957,4.49766,106.595,113.125
image_019_label_6.bin,10.7302,94.9113,0.464362,0.430227,1.10155,0.896439,4.51381,106.536,113.054
image_035_label_2.bin,10.526,94.0919,0.461076,0.429539,1.08288,0.903825,4.46385,105.508,111.965
image_021_label_3.bin,10.6742,95.6421,0.460736,0.427778,1.0897,0.890371,4.54529,107.205,113.737
image_058_label_2.bin,10.6733,96.0136,0.461636,0.428655,1.11064,0.89256,4.54527,107.577,114.132
image_006_label_1.bin,10.6845,94.3509,0.45936,0.427446,1.09088,0.89458,4.46261,105.922,112.377
image_056_label_6.bin,10.604,95.7142,0.459846,0.429949,1.11307,0.893196,4.45717,107.208,113.678
image_096_label_7.bin,10.5897,96.2356,0.461323,0.429712,1.09361,0.921758,4.517,107.716,114.255
image_042_label_0.bin,10.6083,95.4807,0.459832,0.428753,1.10483,0.893595,4.46202,106.978,113.444
image_046_label_1.bin,10.7132,96.1677,0.543953,0.455023,1.27593,1.22294,4.62283,107.88,115.008
image_052_label_0.bin,10.711,93.5151,0.46256,0.430884,1.10023,0.901186,4.51341,105.12,111.641
image_023_label_3.bin,10.5997,95.8793,0.458862,0.427929,1.09437,0.893973,4.46269,107.366,113.823
image_066_label_1.bin,10.6077,95.704,0.461376,0.428523,1.08781,0.915384,4.51894,107.202,113.73
image_010_label_0.bin,10.7018,95.9357,0.457962,0.440144,1.08474,0.884819,4.45924,107.536,113.971
image_072_label_7.bin,10.6988,95.452,0.458437,0.430301,1.08677,0.901526,4.48914,107.04,113.524
image_014_label_1.bin,10.7385,96.144,0.46409,0.426259,1.08152,0.889314,4.48401,107.773,114.234
image_027_label_5.bin,10.6415,95.3392,0.461823,0.430745,1.10456,0.891184,4.54399,106.873,113.419
image_028_label_2.bin,10.6129,94.9911,0.462506,0.426782,1.0885,0.887445,4.48759,106.493,112.963
image_051_label_4.bin,10.6114,95.7122,0.507945,0.430345,1.09683,0.908283,4.51353,107.262,113.786
image_097_label_5.bin,10.6247,92.104,0.464378,0.430368,1.12546,0.958477,4.56344,103.623,110.277
image_083_label_3.bin,10.6108,95.0337,0.517198,0.498907,1.28795,1.07479,4.61887,106.661,113.65
image_088_label_2.bin,11.1809,95.5017,0.468043,0.433775,1.23157,0.927224,4.51525,107.584,114.266
image_064_label_9.bin,10.5476,92.7246,0.459238,0.429494,1.08806,0.895098,4.5605,104.161,110.712
image_048_label_3.bin,10.8345,95.6317,0.461734,0.429143,1.10076,0.886765,4.47418,107.357,113.825
