image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,55.7189,220.034,87.9156,88.0961,0.055242,0.198727,4.46782,451.765,456.496
image_085_label_1.bin,41.043,213.599,87.8121,87.8725,0.054129,0.096384,4.49564,430.327,434.978
image_095_label_1.bin,41.2133,225.59,96.2062,92.5182,0.058759,0.100024,4.66186,455.528,460.355
image_045_label_9.bin,44.1673,221.615,90.8434,90.9255,0.083849,0.09924,4.53998,447.551,452.281
image_081_label_0.bin,42.7522,230.192,89.4232,87.7274,0.084458,0.10026,4.46867,450.095,454.755
image_069_label_4.bin,40.7893,217.863,87.5003,87.9195,0.057675,0.096879,4.49569,434.072,438.728
image_004_label_3.bin,40.9149,216.47,90.2627,89.0651,0.057606,0.096177,4.51352,436.713,441.385
image_037_label_7.bin,40.927,223.163,93.7117,93.4724,0.057513,0.10007,4.65813,451.274,456.097
image_075_label_7.bin,43.0134,223.394,90.4487,91.5238,0.07238,0.101374,4.51602,448.38,453.077
image_018_label_0.bin,41.9992,218.408,91.5051,89.4555,0.059061,0.098888,4.80031,441.368,446.332
image_089_label_5.bin,42.3235,222.787,90.6681,88.5787,0.061766,0.102057,4.46973,444.357,448.995
image_061_label_1.bin,43.1856,219.763,88.9578,90.3898,0.068484,0.102095,4.51127,442.296,446.983
image_092_label_3.bin,41.5944,214.364,87.6511,88.1704,0.056521,0.099637,4.49792,431.78,436.439
image_071_label_1.bin,41.5073,220.464,89.301,88.1018,0.056512,0.099738,4.55802,439.374,444.093
image_017_label_9.bin,41.2342,213.525,87.5123,88.4407,0.052787,0.098204,4.46977,430.712,435.337
image_020_label_5.bin,41.1938,219.033,90.423,88.3518,0.059773,0.123047,4.49851,439.002,443.689
image_099_label_5.bin,40.8946,215.618,90.2846,89.192,0.055149,0.101887,4.51071,435.99,440.662
image_009_label_4.bin,41.2019,213.479,90.1205,91.2808,0.053423,0.100018,4.54726,436.082,440.789
image_043_label_6.bin,41.5336,216.923,87.7441,87.7615,0.053065,0.096566,4.51021,433.962,438.626
image_070_label_2.bin,42.9213,222.569,91.8045,90.5644,0.07748,0.105561,4.46789,447.859,452.516
image_057_label_7.bin,41.3986,216.51,89.6462,89.5841,0.057947,0.100037,4.51287,437.138,441.815
image_031_label_6.bin,41.3074,213.554,88.4089,88.4529,0.052814,0.09814,4.46897,431.723,436.348
image_098_label_8.bin,41.5628,218.936,90.6068,89.3876,0.057902,0.099934,4.8643,440.493,445.521
image_016_label_4.bin,42.2365,220.497,89.5609,87.6245,0.07144,0.102515,4.47141,439.919,444.57
image_002_label_5.bin,41.0399,217.512,90.6389,89.1901,0.07176,0.112281,4.52432,438.381,443.094
image_073_label_1.bin,41.7125,215.57,87.9356,88.2174,0.05536,0.098917,4.4698,433.436,438.064
image_080_label_3.bin,42.5934,221.205,90.9807,92.089,0.078609,0.107687,4.51789,446.868,451.578
image_068_label_0.bin,42.2067,216.571,87.9597,88.0434,0.054797,0.097305,4.46941,434.781,439.407
image_036_label_4.bin,41.3575,215.146,87.8035,90.1396,0.054351,0.098785,4.67427,434.446,439.279
image_094_label_5.bin,41.697,220.048,89.4243,88.3544,0.060829,0.100187,4.55458,439.524,444.258
image_090_label_4.bin,41.8807,215.581,87.3451,88.4542,0.056773,0.099705,4.5267,433.261,437.949
image_050_label_5.bin,40.8167,217.238,91.1914,89.1399,0.055309,0.099006,4.69573,438.386,443.242
image_044_label_4.bin,41.5155,216.7,88.0874,87.6777,0.054348,0.098935,4.47771,433.981,438.616
image_013_label_0.bin,41.0466,217.026,90.7981,88.9977,0.057308,0.100269,4.46972,437.868,442.501
image_065_label_6.bin,41.0572,216.902,88.3861,89.0483,0.053619,0.098631,4.52892,435.393,440.079
image_007_label_1.bin,41.5104,218.855,89.224,90.8349,0.056602,0.101167,4.57189,440.424,445.16
image_024_label_2.bin,41.7585,217.927,90.2946,88.795,0.055814,0.097454,4.46883,438.776,443.402
image_049_label_2.bin,40.7325,215.065,87.6045,90.8621,0.053132,0.098924,4.57597,434.264,438.997
image_003_label_0.bin,42.1541,218.072,91.2656,89.8121,0.054798,0.098901,4.51026,441.303,445.973
image_041_label_9.bin,41.547,213.999,88.1303,90.4171,0.05449,0.099921,4.52568,434.093,438.779
image_091_label_1.bin,42.3298,222.155,88.7456,87.7244,0.057528,0.101678,4.46995,440.955,445.59
image_055_label_8.bin,41.4817,213.905,87.8015,87.3314,0.057187,0.099655,4.49652,430.519,435.178
