image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms,energy_J,avg_power_W
image_038_label_9.bin,1.12233,1.62475,0.544497,0.410506,1.0266,0.881622,4.88211,3.70208,10.5008,0.835648,65.695
image_085_label_1.bin,0.86999,1.6299,0.535233,0.412139,0.994161,0.814808,4.71833,3.44726,9.98117,0.806019,65.695
image_095_label_1.bin,0.787649,1.60992,0.529403,0.409373,0.952769,0.741299,4.55363,3.33635,9.58919,1.13554,70.353
image_045_label_9.bin,0.847854,1.61417,0.527782,0.408867,0.986328,0.746572,4.55357,3.39868,9.69161,0.859546,70.353
image_081_label_0.bin,0.866853,1.60758,0.539865,0.407527,0.990594,0.744587,4.55411,3.42182,9.7179,0.878879,70.353
image_069_label_4.bin,0.850276,1.64183,0.531711,0.406985,0.984526,0.751855,4.60009,3.4308,9.77376,0.85485,70.353
image_004_label_3.bin,0.730329,1.60098,0.567991,0.408356,0.957854,0.741928,4.54952,3.30766,9.56199,0.917971,70.353
image_037_label_7.bin,0.967124,1.6027,0.524321,0.408452,0.986552,0.746223,4.54656,3.50259,9.80601,0.850711,70.353
image_075_label_7.bin,0.851911,1.60291,0.519978,0.409321,0.983603,0.7418,4.55317,3.38412,9.67002,0.878862,70.353
image_018_label_0.bin,0.852379,1.6019,0.567871,0.406497,0.982113,0.744088,4.56342,3.42865,9.72426,0.890388,73.843
image_089_label_5.bin,0.876037,1.60692,0.521476,0.407809,0.995188,0.741366,4.55009,3.41224,9.70557,0.932518,73.843
image_061_label_1.bin,0.805713,1.59797,0.527306,0.408085,0.952639,0.798963,4.58613,3.33907,9.68204,0.895093,73.843
image_092_label_3.bin,0.736131,1.602,0.526793,0.406403,0.958978,0.73966,4.55151,3.27133,9.52657,0.886846,73.843
image_071_label_1.bin,0.752904,1.60028,0.536602,0.406538,0.957315,0.736612,4.55003,3.29633,9.54539,0.894378,73.843
image_017_label_9.bin,0.848818,1.60575,0.529779,0.406878,0.976496,0.744376,4.55009,3.39123,9.66857,0.906153,73.843
image_020_label_5.bin,0.852461,1.60852,0.525785,0.410305,1.09947,0.771215,4.54916,3.39708,9.82284,0.90296,73.843
image_099_label_5.bin,0.847854,1.59665,0.532225,0.409558,0.988232,0.769245,4.59587,3.38629,9.74615,0.908673,73.561
image_009_label_4.bin,0.926275,1.65612,0.525729,0.407373,0.998912,0.742417,4.55428,3.5155,9.81749,0.889027,73.561
image_043_label_6.bin,0.860059,1.60553,0.52678,0.409405,1.03049,0.748852,4.58557,3.40178,9.77312,0.896097,73.561
image_070_label_2.bin,0.849952,1.64642,0.521359,0.410628,0.989119,0.744211,4.56891,3.42836,9.73726,0.890784,73.561
image_057_label_7.bin,0.732062,1.6014,0.527511,0.41199,0.958287,0.770647,4.5927,3.27297,9.59978,0.908929,73.561
image_031_label_6.bin,0.848861,1.59961,0.535059,0.409073,1.03348,0.751907,4.55286,3.3926,9.7373,0.899639,73.561
image_098_label_8.bin,0.848443,1.60193,0.530869,0.409391,0.990572,0.78678,4.58578,3.39063,9.75999,0.91326,73.561
image_016_label_4.bin,0.847028,1.59975,0.521519,0.409305,0.984827,0.744596,4.55389,3.3776,9.66762,1.02758,73.553
image_002_label_5.bin,0.851343,1.61324,0.524988,0.410935,0.98207,0.740347,4.55016,3.40051,9.67971,0.933852,73.553
image_073_label_1.bin,0.858075,1.60293,0.532206,0.416958,1.01147,0.746969,4.55879,3.41017,9.73376,0.899945,73.553
image_080_label_3.bin,0.850782,1.60207,0.527662,0.410709,0.985202,0.745392,4.55014,3.39122,9.67792,0.922278,73.553
image_068_label_0.bin,0.81314,1.60158,0.538317,0.408245,0.960035,0.782255,4.55006,3.36129,9.65879,0.900528,73.553
image_036_label_4.bin,0.848515,1.60223,0.528932,0.409086,0.979161,0.74831,4.55428,3.38876,9.67663,0.910122,73.553
image_094_label_5.bin,0.881219,1.6026,0.533575,0.406296,1.1225,0.74988,4.55292,3.42369,9.85594,0.89842,73.553
image_090_label_4.bin,0.848397,1.60015,0.528198,0.415464,1.02699,0.752564,4.55819,3.39221,9.73615,0.934686,73.689
image_050_label_5.bin,0.849985,1.60335,0.535347,0.407084,0.979061,0.744205,4.51709,3.39576,9.64223,0.891288,73.689
image_044_label_4.bin,0.739761,1.59996,0.536085,0.40971,0.999776,0.776999,4.55048,3.28551,9.61836,0.921972,73.689
image_013_label_0.bin,0.848491,1.60089,0.531621,0.415444,1.04369,0.747299,4.55437,3.39645,9.748,0.903183,73.689
image_065_label_6.bin,0.849798,1.60347,0.531965,0.409821,0.976633,0.761405,4.55237,3.39506,9.69209,0.911177,73.689
image_007_label_1.bin,0.855209,1.59705,0.519206,0.410081,1.02684,0.752861,4.55797,3.38155,9.72511,0.901144,73.689
image_024_label_2.bin,0.850498,1.61217,0.532003,0.406562,0.988488,0.749367,4.55839,3.40124,9.70444,0.898839,73.689
image_049_label_2.bin,0.806896,1.59938,0.531625,0.409514,0.958279,0.743298,4.55957,3.34742,9.61376,0.892194,73.643
image_003_label_0.bin,0.844768,1.63101,0.532114,0.408708,0.985848,0.747473,4.55286,3.4166,9.70924,0.929088,73.643
image_041_label_9.bin,0.848465,1.63655,0.525198,0.410137,1.00307,0.743703,4.55981,3.42035,9.73327,0.904611,73.643
image_091_label_1.bin,0.845706,1.59707,0.533254,0.410889,1.02487,0.753663,4.60503,3.38692,9.77722,0.91115,73.643
image_055_label_8.bin,0.847615,1.60673,0.524356,0.409691,0.978227,0.744669,4.55281,3.38839,9.67035,0.899038,73.643
image_076_label_5.bin,0.850273,1.60478,0.526456,0.41234,1.04039,0.743917,4.56789,3.39385,9.75222,0.893363,73.643
image_033_label_7.bin,0.848988,1.60149,0.52777,0.41069,0.979344,0.743585,4.55347,3.38894,9.67178,0.901792,73.643
image_001_label_7.bin,0.893605,1.60029,0.532653,0.435273,0.99271,0.745811,4.55813,3.46182,9.76519,1.04509,73.612
image_032_label_3.bin,0.857278,1.60037,0.5245,0.411344,1.02046,0.741271,4.55688,3.39349,9.71824,0.898746,73.612
image_067_label_8.bin,0.848472,1.60488,0.529527,0.411565,0.982012,0.744821,4.55111,3.39444,9.67898,0.916946,73.612
image_026_label_5.bin,0.730537,1.59856,0.526668,0.409159,0.951683,0.742338,4.55846,3.26492,9.52256,0.901263,73.612
image_063_label_7.bin,0.851022,1.60223,0.529635,0.412536,0.98396,0.81312,4.60578,3.39542,9.80481,0.888769,73.612
image_011_label_0.bin,0.729439,1.60141,0.575301,0.409988,0.949193,0.743037,4.55153,3.31614,9.56503,0.90341,73.612
image_039_label_5.bin,0.8454,1.61121,0.535288,0.407909,0.98023,0.823206,4.59082,3.39981,9.80076,0.91221,73.612
image_005_label_1.bin,0.848351,1.64213,0.534423,0.411012,0.975625,0.743047,4.55658,3.43592,9.71779,0.927342,73.965
image_087_label_0.bin,0.886904,1.60652,0.534156,0.41652,0.983689,0.770441,4.54858,3.4441,9.75301,0.926009,73.965
image_074_label_2.bin,0.805889,1.60078,0.518961,0.410384,0.954868,0.751139,4.55009,3.33602,9.59743,0.892238,73.965
image_093_label_6.bin,0.884243,1.59801,0.530242,0.412782,0.991715,0.746734,4.55165,3.42527,9.72161,0.905828,73.965
image_047_label_1.bin,0.850413,1.60643,0.535229,0.41333,0.981867,0.748567,4.55417,3.4054,9.69659,0.902559,73.965
image_025_label_6.bin,0.730056,1.60083,0.518712,0.408943,0.954468,0.741207,4.55042,3.25854,9.50983,0.924071,73.965
image_053_label_0.bin,0.85218,1.59998,0.526634,0.409607,0.991145,0.800145,4.59598,3.3884,9.78204,0.89807,73.965
image_012_label_4.bin,0.849752,1.65432,0.527376,0.414072,0.977886,0.749266,4.55405,3.44552,9.73319,0.995695,73.702
image_078_label_5.bin,0.803867,1.60448,0.532855,0.410084,0.958927,0.786388,4.55312,3.35129,9.65495,0.904967,73.702
image_084_label_0.bin,0.848403,1.60767,0.532992,0.408656,0.989198,0.772044,4.64091,3.39772,9.80642,0.896864,73.702
image_015_label_5.bin,0.734486,1.60454,0.531447,0.406847,0.962465,0.79674,4.55006,3.27731,9.59167,0.900199,73.702
image_060_label_0.bin,0.847943,1.604,0.529236,0.409424,0.98426,0.796724,4.6168,3.3906,9.79492,0.909784,73.702
image_019_label_6.bin,0.845094,1.65283,0.527946,0.407596,0.976896,0.747235,4.55451,3.43346,9.71871,0.904792,73.702
image_035_label_2.bin,0.949171,1.60581,0.527709,0.406294,1.0492,0.810626,4.55303,3.48899,9.90858,0.913333,73.702
image_021_label_3.bin,0.84372,1.60608,0.53393,0.409265,0.975259,0.747372,4.57676,3.39299,9.69866,0.95128,73.772
image_058_label_2.bin,0.734483,1.60417,0.529997,0.408413,0.961383,0.746289,4.55572,3.27706,9.54544,0.942228,73.772
image_006_label_1.bin,0.846537,1.60298,0.533242,0.40639,1.02436,0.751333,4.60166,3.38915,9.77284,0.897553,73.772
image_056_label_6.bin,0.846595,1.63898,0.52764,0.407001,0.976643,0.741285,4.57965,3.42022,9.72437,0.917742,73.772
image_096_label_7.bin,0.902763,1.60504,0.527756,0.42178,0.982173,0.766374,4.56422,3.45734,9.77609,0.908071,73.772
image_042_label_0.bin,0.842255,1.60606,0.525515,0.40862,0.969404,0.749801,4.55608,3.38245,9.66412,0.916849,73.772
image_046_label_1.bin,0.769164,1.59693,0.532496,0.433137,0.95341,0.750886,4.5659,3.33173,9.60738,0.893448,73.772
image_052_label_0.bin,0.807979,1.60578,0.535707,0.40885,0.979091,0.745651,4.5956,3.35832,9.68405,0.985954,73.975
image_023_label_3.bin,0.850869,1.64021,0.525336,0.407716,0.991572,0.743457,4.55118,3.42413,9.71689,0.908415,73.975
image_066_label_1.bin,0.927689,1.60654,0.523226,0.408821,0.989814,0.742537,4.55809,3.46628,9.7632,0.91685,73.975
image_010_label_0.bin,0.84604,1.60763,0.532811,0.406952,0.980098,0.754315,4.55644,3.39344,9.69102,0.907724,73.975
image_072_label_7.bin,0.879382,1.60136,0.532516,0.407281,1.01718,0.796989,4.55086,3.42054,9.79202,0.918759,73.975
image_014_label_1.bin,0.845937,1.60791,0.528073,0.406428,0.986819,0.744405,4.56057,3.38835,9.68646,0.907681,73.975
image_027_label_5.bin,0.897585,1.59971,0.581471,0.407378,0.998013,0.746674,4.55392,3.48615,9.79385,0.905297,73.975
image_028_label_2.bin,0.845697,1.60637,0.530448,0.406156,0.975643,0.75284,4.56947,3.38867,9.69296,0.961566,73.539
image_051_label_4.bin,0.846223,1.60207,0.526855,0.406275,0.9792,0.74272,4.55487,3.38142,9.66453,0.920177,73.539
image_097_label_5.bin,0.894452,1.60043,0.539653,0.413418,0.972949,0.754163,4.59872,3.44795,9.77994,0.897375,73.539
image_083_label_3.bin,0.843613,1.59859,0.533052,0.406217,0.977859,0.747519,4.55058,3.38147,9.66395,0.917889,73.539
image_088_label_2.bin,0.853104,1.61233,0.566799,0.406056,0.995584,0.766758,4.54832,3.43829,9.75509,0.90381,73.539
image_064_label_9.bin,0.844646,1.60485,0.525392,0.409279,0.978126,0.745626,4.55728,3.38417,9.67197,0.893546,73.539
image_048_label_3.bin,0.747984,1.60175,0.526577,0.405982,0.957875,0.747412,4.55904,3.28229,9.55192,0.901908,73.539
image_040_label_1.bin,0.842929,1.60895,0.528146,0.407344,0.98301,0.788418,4.60112,3.38737,9.76649,1.00539,73.691
image_022_label_1.bin,0.846115,1.61034,0.525936,0.408195,0.984295,0.743076,4.55512,3.39059,9.67991,0.889798,73.691
image_054_label_9.bin,0.785877,1.60194,0.547133,0.40787,0.990798,0.783628,4.68708,3.34282,9.80977,0.904373,73.691
image_077_label_3.bin,0.822693,1.60535,0.526531,0.40682,0.984308,0.749672,4.65204,3.36139,9.75257,0.895731,73.691
image_029_label_7.bin,0.899498,1.60174,0.528934,0.40688,0.989271,0.741222,4.55232,3.43706,9.72597,0.900825,73.691
image_062_label_1.bin,0.849869,1.60431,0.524247,0.408054,0.990174,0.746354,4.56969,3.38648,9.69904,0.884361,73.691
image_000_label_6.bin,0.853643,1.60295,0.542147,0.427769,1.00591,0.792321,4.55565,3.42651,9.78708,0.920744,73.691
image_079_label_7.bin,0.844926,1.60595,0.52056,0.40732,1.0454,0.74259,4.59525,3.37875,9.76797,1.00408,73.814
image_030_label_1.bin,0.846234,1.61051,0.529599,0.414021,0.976237,0.808013,4.59252,3.40037,9.78348,0.916349,73.814
image_082_label_9.bin,0.846162,1.60753,0.533578,0.408855,0.976696,0.755487,4.54773,3.39613,9.68232,0.904467,73.814
image_034_label_9.bin,0.892598,1.60133,0.527702,0.434837,0.990906,0.746117,4.55211,3.45647,9.75179,0.900819,73.814
image_059_label_0.bin,0.846199,1.60359,0.531681,0.406873,0.975096,0.756266,4.55766,3.38834,9.68364,0.900255,73.814
image_086_label_8.bin,0.866581,1.59879,0.535123,0.414839,1.0477,0.746641,4.55916,3.41533,9.77571,0.906115,73.814
image_008_label_4.bin,0.951923,1.60661,0.526764,0.407588,0.982169,0.743667,4.55167,3.49289,9.77665,0.90844,73.814
