image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,73.0701,168.915,77.1836,76.2438,0.056952,0.188819,4.953,395.413,400.617
image_085_label_1.bin,68.2624,169.772,78.3167,76.2835,0.054917,0.123143,4.83981,392.634,397.657
image_095_label_1.bin,68.8297,171.016,77.7031,76.4786,0.056405,0.085465,4.50148,394.027,398.676
image_045_label_9.bin,67.1107,170.173,77.7401,79.5532,0.064712,0.088952,4.57678,394.577,399.312
image_081_label_0.bin,69.2012,165.964,77.8288,79.538,0.052205,0.086058,4.57391,392.532,397.25
image_069_label_4.bin,70.4818,166.862,76.2481,76.7182,0.054786,0.086318,4.47195,390.31,394.927
image_004_label_3.bin,68.1965,166.1,76.6596,76.1506,0.053467,0.084499,4.47218,387.106,391.72
image_037_label_7.bin,67.8185,170.349,79.4817,76.8174,0.063529,0.088225,4.47273,394.466,399.095
image_075_label_7.bin,68.8271,182.863,79.9553,78.7993,0.138026,0.142175,4.57119,410.444,415.304
image_018_label_0.bin,70.0855,171.05,79.7388,80.3034,0.114807,0.117212,4.55354,401.178,405.971
image_089_label_5.bin,70.7182,176.573,79.0368,76.4254,0.101008,0.118396,4.47366,402.754,407.454
image_061_label_1.bin,68.588,170.003,76.2318,76.0776,0.103552,0.099002,4.4735,390.901,395.582
image_092_label_3.bin,68.056,165.728,78.0934,77.6472,0.052946,0.085232,4.51056,389.524,394.177
image_071_label_1.bin,66.8722,166.505,76.262,76.9266,0.052578,0.088391,4.52959,386.566,391.24
image_017_label_9.bin,68.4164,165.595,76.8051,76.3231,0.051851,0.084962,4.46934,387.14,391.75
image_020_label_5.bin,65.6804,168.615,77.9524,76.2411,0.05372,0.08608,4.50024,388.489,393.133
image_099_label_5.bin,65.8897,166.549,76.865,76.4455,0.05194,0.086726,4.47051,385.749,390.362
image_009_label_4.bin,67.9117,169.227,78.2274,77.8981,0.064765,0.085519,4.5621,393.264,397.981
image_043_label_6.bin,68.8591,166.543,76.2236,76.126,0.052911,0.085334,4.47353,387.752,392.367
image_070_label_2.bin,68.0755,166.07,76.4097,76.4806,0.051712,0.0845,4.8836,387.036,392.06
image_057_label_7.bin,69.5794,169.384,77.7232,76.6395,0.056559,0.085428,4.46427,393.326,397.937
image_031_label_6.bin,67.7612,166.88,76.2782,76.314,0.051644,0.084345,4.50141,387.233,391.875
image_098_label_8.bin,67.9085,166.109,76.4405,77.6486,0.052002,0.084247,4.51758,388.106,392.764
image_016_label_4.bin,68.5998,167.756,76.4691,76.0944,0.053081,0.085637,4.47112,388.92,393.533
image_002_label_5.bin,67.793,165.279,76.8583,76.5846,0.052455,0.084746,4.47016,386.515,391.126
image_073_label_1.bin,68.0508,167.4,77.3364,78.0903,0.056017,0.085094,4.5225,390.878,395.545
image_080_label_3.bin,68.1445,166.184,76.6604,76.1166,0.051902,0.084678,4.49218,387.106,391.739
image_068_label_0.bin,67.9373,165.847,78.6512,80.1171,0.070015,0.09825,4.51458,392.552,397.239
image_036_label_4.bin,71.1858,172.369,77.1884,76.082,0.058971,0.087891,4.47323,396.825,401.449
image_094_label_5.bin,68.2533,165.811,76.5019,76.3937,0.052344,0.085029,4.47267,386.96,391.574
image_090_label_4.bin,70.7257,171.336,76.6691,76.2312,0.074259,0.125637,4.47573,394.962,399.644
image_050_label_5.bin,68.0735,166.369,76.9623,76.6184,0.051773,0.084934,4.52954,388.023,392.693
image_044_label_4.bin,68.2866,166.322,78.0921,78.5852,0.052287,0.084944,4.54291,391.286,395.97
image_013_label_0.bin,69.3105,167.956,76.449,76.1746,0.052,0.084559,4.50872,389.891,394.54
image_065_label_6.bin,68.0616,166.14,76.2769,76.3301,0.052058,0.084752,4.47204,386.809,391.421
image_007_label_1.bin,68.0717,166.682,77.6016,76.2223,0.052222,0.084612,4.46891,388.577,393.187
image_024_label_2.bin,67.7067,165.736,76.863,76.1834,0.053942,0.085112,4.4964,386.489,391.128
image_049_label_2.bin,67.9974,165.616,76.4846,76.3232,0.053433,0.084749,4.46591,386.421,391.029
image_003_label_0.bin,68.4819,166.803,76.2749,76.3436,0.051572,0.084658,4.50167,387.903,392.545
image_041_label_9.bin,68.2066,166.098,76.2182,76.137,0.052116,0.084441,4.46645,386.66,391.267
image_091_label_1.bin,67.9968,166.111,77.5303,77.1671,0.053392,0.084687,4.51082,388.806,393.458
image_055_label_8.bin,68.9385,166.06,76.3605,76.5182,0.052532,0.085289,4.46784,387.877,392.486
image_076_label_5.bin,67.6803,165.987,77.3176,78.4175,0.051821,0.085679,4.59951,389.403,394.144
image_033_label_7.bin,69.475,168.836,76.2213,76.3462,0.053764,0.085838,4.47519,390.878,395.497
image_001_label_7.bin,67.5896,165.59,77.7091,77.6974,0.053883,0.085127,4.51065,388.587,393.24
image_032_label_3.bin,69.2173,168.96,77.7462,77.5727,0.059699,0.087004,4.47414,393.496,398.121
image_067_label_8.bin,68.1019,166.431,76.237,76.4172,0.054359,0.099725,4.50145,387.187,391.847
image_026_label_5.bin,68.1078,165.677,76.3689,76.6682,0.053348,0.084696,4.55277,386.822,391.517
image_063_label_7.bin,67.783,167.84,77.9519,76.1222,0.053857,0.084973,4.47133,389.697,394.311
image_011_label_0.bin,68.1262,165.941,76.4345,76.1741,0.054346,0.084392,4.46932,386.676,391.288
image_039_label_5.bin,67.7061,166.194,76.5728,77.4175,0.054016,0.084869,4.54,387.891,392.573
image_005_label_1.bin,68.6043,166.661,76.2867,76.1073,0.053885,0.085852,4.46499,387.66,392.268
image_087_label_0.bin,68.5908,165.949,76.3095,76.641,0.053772,0.084358,4.52328,387.49,392.156
image_074_label_2.bin,67.9428,168.197,77.7408,76.9219,0.05601,0.084783,4.4719,390.802,395.419
image_093_label_6.bin,68.1615,166.158,76.2488,76.2299,0.053528,0.084457,4.46947,386.798,391.409
image_047_label_1.bin,68.2201,168.54,79.3666,79.3249,0.068376,0.089266,4.52144,395.451,400.136
image_025_label_6.bin,68.2538,167.506,76.4594,76.2685,0.054109,0.085901,4.528,388.487,393.159
image_053_label_0.bin,67.99,166.078,76.2823,76.3491,0.053694,0.085062,4.4991,386.699,391.342
image_012_label_4.bin,69.7962,169.474,76.438,76.3209,0.089138,0.108399,4.47459,392.029,396.706
image_078_label_5.bin,68.6997,166.646,76.9029,76.2344,0.061298,0.085679,4.47601,388.483,393.11
image_084_label_0.bin,67.759,166.441,77.0976,76.5328,0.054079,0.084955,4.49959,387.83,392.473
image_015_label_5.bin,69.3486,167.569,76.2993,76.2199,0.053714,0.084934,4.47184,389.437,394.052
image_060_label_0.bin,67.8971,169.004,77.591,76.1133,0.059535,0.093202,4.4718,390.606,395.234
image_019_label_6.bin,68.3008,167.481,76.6611,76.2569,0.056436,0.084995,4.47192,388.7,393.317
image_035_label_2.bin,68.2655,165.85,76.7415,77.2348,0.05313,0.080786,4.53025,388.092,392.76
