image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,1.14859,1.64987,0.563157,0.413128,1.0557,0.994656,5.30107,3.77475,11.1328
image_085_label_1.bin,0.762167,1.6032,0.536162,0.407231,0.946944,0.819915,4.61822,3.30876,9.6983
image_095_label_1.bin,0.730766,1.60093,0.560286,0.44931,0.955843,0.764748,4.53959,3.3413,9.60562
image_045_label_9.bin,0.846255,1.60017,0.528615,0.411035,1.00191,0.745192,4.54855,3.38607,9.68727
image_081_label_0.bin,0.8902,1.66094,0.532882,0.41025,1.00224,0.732155,4.54427,3.49427,9.77823
image_069_label_4.bin,0.729286,1.59675,0.568145,0.40945,0.939982,0.7599,4.54513,3.30363,9.55274
image_004_label_3.bin,0.782565,1.58965,0.52217,0.411183,0.940093,0.754821,4.5174,3.30557,9.52201
image_037_label_7.bin,0.839462,1.58756,0.527133,0.40986,1.0146,0.80705,5.01464,3.36402,10.2055
image_075_label_7.bin,0.785143,1.64144,0.522815,0.412384,0.949438,0.769088,4.61192,3.36178,9.69634
image_018_label_0.bin,0.843198,1.59203,0.526614,0.409376,0.979223,0.776933,4.74435,3.37122,9.87654
image_089_label_5.bin,0.733627,1.58968,0.519972,0.438388,0.943229,0.735027,4.64787,3.28166,9.61209
image_061_label_1.bin,0.727826,1.59004,0.523762,0.408731,0.938494,0.791504,4.62833,3.25036,9.6128
image_092_label_3.bin,0.731298,1.58915,0.553388,0.408473,0.94455,0.732348,4.57674,3.28231,9.54018
image_071_label_1.bin,0.751137,1.59574,0.526937,0.410196,1.05685,0.831396,4.5793,3.28401,9.75626
image_017_label_9.bin,0.741874,1.59346,0.527483,0.406685,0.949658,0.741112,4.57354,3.2695,9.53805
image_020_label_5.bin,0.899387,1.59937,0.538015,0.408308,0.983311,0.753261,4.59543,3.44508,9.78266
image_099_label_5.bin,0.734308,1.59129,0.519632,0.40811,0.951027,0.782182,4.56837,3.25334,9.55909
image_009_label_4.bin,0.740235,1.59551,0.566368,0.409262,0.961359,0.739679,4.55584,3.31137,9.57257
image_043_label_6.bin,0.941066,1.59748,0.524122,0.409921,0.989634,0.739169,4.56301,3.47259,9.76982
image_070_label_2.bin,0.849362,1.60528,0.521732,0.408608,1.01552,0.751435,4.5664,3.38498,9.72376
image_057_label_7.bin,0.881664,1.60217,0.516697,0.411794,0.985445,0.821386,4.569,3.41233,9.79389
image_031_label_6.bin,0.85146,1.59442,0.521178,0.409403,0.972389,0.749847,4.53332,3.37647,9.63758
image_098_label_8.bin,0.853898,1.60729,0.524556,0.411126,1.01435,0.744684,4.5529,3.39687,9.71447
image_016_label_4.bin,0.874635,1.60197,0.519243,0.417216,0.990856,0.769751,4.605,3.41307,9.78434
image_002_label_5.bin,0.850716,1.61094,0.52138,0.408876,1.01279,0.743502,4.55493,3.39191,9.70871
image_073_label_1.bin,0.764263,1.59398,0.526039,0.410176,1.024,0.778113,4.69466,3.29446,9.8008
image_080_label_3.bin,0.967178,1.59035,0.557806,0.406577,0.977766,0.737017,4.56522,3.52191,9.80708
image_068_label_0.bin,0.880203,1.59486,0.526437,0.427399,0.984791,0.770753,4.56557,3.4289,9.7551
image_036_label_4.bin,0.85708,1.59292,0.523159,0.422535,1.03054,0.740088,4.57063,3.3957,9.74248
image_094_label_5.bin,0.73434,1.6492,0.522137,0.410199,0.966566,0.74976,4.6005,3.31588,9.63694
image_090_label_4.bin,0.73995,1.59957,0.523699,0.413371,0.958327,0.738039,4.55934,3.27659,9.5365
image_050_label_5.bin,0.742882,1.62836,0.525252,0.408833,0.951451,0.738838,4.56411,3.30533,9.56394
image_044_label_4.bin,0.733673,1.59665,0.564787,0.408654,0.97093,0.755627,4.56947,3.30376,9.60412
image_013_label_0.bin,0.774105,1.59664,0.525457,0.406756,0.94724,0.740785,4.56399,3.30295,9.55904
image_065_label_6.bin,0.85369,1.59107,0.522521,0.408949,1.01846,0.741976,4.65857,3.37623,9.80092
image_007_label_1.bin,0.735451,1.60354,0.525588,0.434832,1.0086,0.763738,4.58317,3.29942,9.65922
image_024_label_2.bin,0.851658,1.59642,0.530514,0.409977,0.978816,0.747671,4.56452,3.38857,9.68439
image_049_label_2.bin,0.88837,1.59843,0.529112,0.407285,0.982262,0.746408,4.56019,3.4232,9.71732
image_003_label_0.bin,0.850979,1.59627,0.528832,0.411088,1.03174,0.741906,4.55775,3.38717,9.72392
image_041_label_9.bin,0.850609,1.59555,0.523546,0.407501,0.976494,0.776184,4.55409,3.37721,9.68935
image_091_label_1.bin,0.893687,1.59196,0.522161,0.415276,0.989311,0.740357,4.56503,3.42308,9.723
image_055_label_8.bin,0.864398,1.59517,0.514649,0.413674,1.02498,0.746438,4.53074,3.38789,9.69509
image_076_label_5.bin,0.901682,1.59658,0.522234,0.413411,0.976359,0.747769,4.55012,3.43391,9.71392
image_033_label_7.bin,0.8532,1.59185,0.520705,0.413326,1.037,0.760105,4.56189,3.37908,9.74326
image_001_label_7.bin,0.731948,1.62038,0.521562,0.410773,0.948946,0.736359,4.55498,3.28467,9.5292
image_032_label_3.bin,0.851102,1.59452,0.523667,0.412069,0.978152,0.762968,4.55805,3.38135,9.68586
image_067_label_8.bin,0.872719,1.59257,0.524902,0.407904,1.03149,0.742226,4.51836,3.39809,9.696
image_026_label_5.bin,0.851481,1.59596,0.52811,0.40906,1.02911,0.738074,4.51763,3.38461,9.67474
image_063_label_7.bin,0.854818,1.59626,0.521151,0.413669,0.975398,0.787365,4.55738,3.38589,9.71112
image_011_label_0.bin,0.78441,1.59247,0.522495,0.406876,0.949389,0.733644,4.55905,3.30625,9.55259
image_039_label_5.bin,0.851591,1.59111,0.523867,0.412367,1.04405,0.748562,4.56142,3.37893,9.73803
image_005_label_1.bin,0.850435,1.60259,0.521327,0.406981,0.982012,0.799556,4.5943,3.38134,9.7624
image_087_label_0.bin,0.854016,1.59153,0.521094,0.415034,0.995045,0.749988,4.56763,3.38168,9.69964
image_074_label_2.bin,0.731192,1.59621,0.52206,0.408491,0.947935,0.735204,4.54813,3.25795,9.4934
image_093_label_6.bin,0.849348,1.60173,0.522712,0.41029,1.01895,0.736752,4.51964,3.38408,9.66511
